id,charId,絶技,難度,必要段階,スキルポイント,属性条件
oishi_skill_1,oishi,ムーンボレー,中級,3,38,ボレー≥33;スピン≥39;安定≥51;球感≥37
oishi_skill_2,oishi,大石の領域,超級,5,72,協調≥100;戦略≥92;安定≥93;スピン≥88;精神≥94
oishi_skill_3,oishi,同調,超級,5,82,協調≥100;精神≥94;球感≥85;戦略≥92;安定≥93
kikumaru_skill_1,kikumaru,ダイビングボレー,中級,2,28,敏捷≥45;パワー≥39;ボレー≥37;球感≥39
kikumaru_skill_2,kikumaru,アクロバティックプレイ,中級,2,34,敏捷≥45;スピード≥37;パワー≥39;球感≥39
kikumaru_skill_3,kikumaru,菊丸ビーム,上級,3,42,ストローク≥43;パワー≥67;球感≥69;スピン≥39
kikumaru_skill_4,kikumaru,菊丸バズーカ,上級,4,58,ストローク≥65;パワー≥83;球感≥85;スピン≥63;精神≥65
kikumaru_skill_5,kikumaru,菊丸印のステップ,上級,3,44,スピード≥65;敏捷≥77;安定≥39;球感≥69
kikumaru_skill_6,kikumaru,同調,超級,5,80,協調≥100;精神≥87;球感≥97;ボレー≥100;安定≥85
inui_skill_1,inui,データテニス,上級,3,45,戦略≥75;進化≥77;精神≥53;球感≥39
inui_skill_2,inui,高速サーブ,上級,3,42,サーブ≥41;パワー≥31;安定≥45;スピン≥47
inui_skill_3,inui,ウォーターフォール,超級,4,65,サーブ≥77;パワー≥55;スピン≥77;戦略≥91;安定≥71
inui_skill_4,inui,超高速サーブ,超級,5,75,サーブ≥95;パワー≥73;スピン≥95;安定≥87;精神≥93
marui_skill_1,marui,鉄柱当て,超級,4,65,ボレー≥95;球感≥93;スピン≥91;戦略≥79;安定≥69
marui_skill_2,marui,綱渡り,上級,3,52,ボレー≥75;球感≥73;スピン≥69;スライス≥67
marui_skill_3,marui,時間差地獄,超級,4,68,戦略≥79;球感≥93;スライス≥89;スピン≥91;精神≥77
marui_skill_4,marui,ワンダーキャッスル,超級,5,78,ボレー≥100;戦略≥95;球感≥100;スピン≥100;精神≥91
atobe_skill_1,atobe,破滅への輪舞曲,超級,4,70,戦略≥95;精神≥91;ストローク≥83;ボレー≥75;スピン≥91
atobe_skill_2,atobe,眼力,上級,3,58,戦略≥75;球感≥63;精神≥71;進化≥67
atobe_skill_3,atobe,タンホイザーサーブ,超級,4,70,サーブ≥87;スピン≥91;スライス≥79;安定≥87;戦略≥95
